Fingerprint ID,coordinate_X,coordinate_Y,zone,c4:e9:84:42:ac:ff,00:26:5b:d1:93:38,00:06:91:d4:77:02,00:26:5b:d1:93:39,8c:5b:f0:78:a1:d6,00:06:91:d4:77:00,0c:47:3d:13:88:e8,0c:47:3d:13:88:e9,68:b6:fc:5b:01:08,1c:ab:c0:df:99:c8,1c:ab:c0:df:99:c9,bc:4d:fb:52:ea:28,bc:4d:fb:52:ea:29,00:fc:8d:cf:98:08,00:fc:8d:cf:98:09,cc:32:e5:38:9c:6c,cc:32:e5:38:9c:6d,8c:5b:f0:78:a1:db,00:06:91:d4:77:01,00:06:91:d4:77:05,44:34:a7:2f:00:e4,68:b6:fc:5b:01:09,84:94:8c:7a:e5:08,84:94:8c:7a:e5:09,8c:5b:f0:78:8f:fa,3c:cd:5d:90:3d:73,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3,E1:E9:C3:D9:09:C3
4,0.0,0.0,Kitchen,-66,-80,-77,-79,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-78,0
5,0.0,0.0,Kitchen,-66,0,-77,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-78,0
6,0.0,0.0,Kitchen,-67,0,-76,0,-64,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-78,0
7,0.0,0.0,Kitchen,-68,0,-77,0,-64,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-77,0
8,0.0,0.0,Kitchen,-69,0,-77,0,-54,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-78,0
9,0.0,0.0,Kitchen,-69,0,-77,0,-54,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-78,0
10,0.0,0.0,Kitchen,-69,-77,-78,-77,-66,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-77,0
11,0.0,0.0,Kitchen,-67,-77,-78,-77,-66,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-77,0
12,0.0,0.0,Kitchen,-68,-78,-78,-77,-67,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-75,0
13,0.0,0.0,Kitchen,-69,-78,-78,-77,-63,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-78,0
14,0.0,0.0,Kitchen,-67,0,-77,-78,-59,-76,-72,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-97,0
15,0.0,0.0,Kitchen,-65,0,-72,-78,-58,-72,-72,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-88,0
16,0.0,0.0,Kitchen,-61,0,-65,-78,-57,-73,-64,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-92,0
17,0.0,0.0,Kitchen,-61,0,-69,-78,-55,-73,-66,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-90,0
18,0.0,0.0,Kitchen,-64,0,-72,0,-55,-73,-66,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-89,0
19,0.0,0.0,Kitchen,-61,0,-72,0,-58,-73,-71,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-91,0
20,0.0,0.0,Kitchen,-61,0,-72,0,-57,-73,-71,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-90,0
21,0.0,0.0,Kitchen,-64,0,-72,0,-57,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-89,0
22,0.0,0.0,Kitchen,-76,0,-70,0,-56,-72,-72,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-92,0
23,0.0,0.0,Kitchen,-65,0,-71,0,-54,-69,-70,-72,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-94,0
24,0.0,0.0,Kitchen,-70,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-94,0
25,0.0,0.0,Kitchen,-76,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-99,0
26,0.0,0.0,Kitchen,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,0
27,0.0,0.0,Kitchen,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,-93,0
28,0.0,0.0,Kitchen,-79,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,-97,0
29,0.0,0.0,Kitchen,-81,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-96,0
30,0.0,0.0,Kitchen,-80,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-96,0
31,0.0,0.0,Kitchen,-75,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-93,0
32,0.0,0.0,Kitchen,-76,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-93,0
33,0.0,0.0,Kitchen,-78,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97,-94,0
34,0.0,0.0,Bedroom,0,0,0,0,-63,0,0,0,0,-69,-70,-77,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-77,0
35,0.0,0.0,Bedroom,-65,0,-71,0,-64,-71,0,0,0,-69,-70,-77,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,-76,0
36,0.0,0.0,Bedroom,-65,-77,-61,-78,-64,-60,0,0,0,-69,-70,-77,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-76,0
37,0.0,0.0,Bedroom,-65,-77,-61,-78,-64,-60,0,0,0,-71,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,-76,0
38,0.0,0.0,Bedroom,-66,-77,-60,-78,-64,-60,0,0,0,-71,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-75,0
39,0.0,0.0,Bedroom,-62,-77,-61,-78,-64,-60,0,0,0,-72,-70,-76,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-81,0
40,0.0,0.0,Bedroom,-63,0,-61,0,-63,-60,0,0,0,-72,-70,-76,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-76,0
41,0.0,0.0,Bedroom,-64,0,-61,0,-63,-60,0,0,0,-72,-70,-76,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-81,0
42,0.0,0.0,Bedroom,-64,-76,-61,0,-63,-61,0,0,0,-72,-70,-76,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-79,0
43,0.0,0.0,Bedroom,-62,-76,-61,0,-64,-61,0,0,0,-71,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,-81,0
44,0.0,0.0,Bedroom,-68,-76,-65,0,-66,-65,0,0,0,-71,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,-86,0
45,0.0,0.0,Bedroom,-71,0,-66,0,-66,-66,0,0,0,-71,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-86,0
46,0.0,0.0,Bedroom,-76,0,-66,0,-64,-66,0,0,0,-71,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-87,0
47,0.0,0.0,Bedroom,-78,0,-66,0,-65,-66,0,0,0,-71,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-86,0
48,0.0,0.0,Bedroom,-77,0,-64,0,-64,-66,0,0,0,-71,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-91,0
49,0.0,0.0,Bedroom,-71,0,-65,0,-64,-66,0,0,0,-70,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-84,0
50,0.0,0.0,Bedroom,-74,0,-66,0,-63,-66,0,0,0,-70,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-86,0
51,0.0,0.0,Bedroom,-75,0,-66,0,-64,-66,0,0,0,-70,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-86,0
52,0.0,0.0,Bedroom,-71,0,-66,0,-74,-66,0,0,0,-70,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-87,0
53,0.0,0.0,Bedroom,-71,0,-66,0,-66,-66,0,0,0,-70,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-85,0
54,0.0,0.0,Bedroom,-75,0,-75,0,-67,-76,0,0,0,-68,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-77,0
55,0.0,0.0,Bedroom,-68,0,-74,0,-69,-75,0,0,0,-68,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,-77,0
56,0.0,0.0,Bedroom,-68,-78,-75,-79,-65,-75,0,0,0,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-81,0
57,0.0,0.0,Bedroom,-68,-78,-76,-79,-65,-76,0,0,0,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-83,0
58,0.0,0.0,Bedroom,-68,-78,-76,-79,-65,-75,0,0,0,-67,-68,-79,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-81,0
59,0.0,0.0,Bedroom,-68,-78,-76,-79,-65,-75,0,0,0,-67,-69,-79,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-81,0
60,0.0,0.0,Bedroom,-68,-78,-76,-79,-65,-74,0,0,0,-67,-69,-79,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-78,0
61,0.0,0.0,Bedroom,-68,0,-76,0,-66,-75,0,0,0,-67,0,-79,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-84,0
62,0.0,0.0,Bedroom,-64,-77,-76,-77,-66,-75,0,0,0,-67,0,-79,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-82,0
63,0.0,0.0,Bedroom,-66,-77,-76,-77,-66,-76,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-81,0
64,0.0,0.0,Living Room,-69,0,-55,0,-74,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-83,0
65,0.0,0.0,Living Room,-69,0,-55,0,-64,-55,0,0,0,-80,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-76,0
66,0.0,0.0,Living Room,-69,0,-55,0,-62,-55,0,0,0,-80,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-75,0
67,0.0,0.0,Living Room,-69,0,-55,0,-62,-55,0,0,0,-80,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-81,0
68,0.0,0.0,Living Room,-70,0,-55,0,-63,-55,0,0,0,-80,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-77,0
69,0.0,0.0,Living Room,-71,0,-57,0,-62,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-81,0
70,0.0,0.0,Living Room,-71,0,-55,0,-65,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-77,0
71,0.0,0.0,Living Room,-70,0,-55,0,-66,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-77,0
72,0.0,0.0,Living Room,-71,0,-55,0,-66,-55,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-75,0
73,0.0,0.0,Living Room,-70,0,-55,0,-64,-55,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-75,0
74,0.0,0.0,Living Room,-73,0,-66,0,-68,-65,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-78,0
75,0.0,0.0,Living Room,-74,0,-56,0,-70,-56,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-83,0
76,0.0,0.0,Living Room,-72,0,-56,0,-70,-56,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-77,0
77,0.0,0.0,Living Room,-72,0,-56,0,-72,-56,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-82,0
78,0.0,0.0,Living Room,-72,0,-56,0,-74,-56,0,0,0,-72,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-78,0
79,0.0,0.0,Living Room,-72,0,-56,0,-70,-56,0,0,0,-73,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-83,0
80,0.0,0.0,Living Room,-68,0,-56,0,-71,-56,0,0,0,-73,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-83,0
81,0.0,0.0,Living Room,-69,0,-55,0,-69,-55,0,0,0,-73,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-79,0
82,0.0,0.0,Living Room,-72,0,-55,0,-66,-55,0,0,0,-73,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-83,0
83,0.0,0.0,Living Room,-76,0,-56,0,-67,-55,0,0,0,-73,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-80,0
84,0.0,0.0,Living Room,-76,0,-54,0,-70,-54,0,0,0,0,0,0,0,-79,-78,0,0,0,0,0,0,0,0,0,0,0,-82,-68,0
85,0.0,0.0,Living Room,-65,0,-56,0,-70,-55,0,0,0,-79,0,0,0,-79,-78,0,0,0,0,0,0,0,0,0,0,0,-84,-66,0
86,0.0,0.0,Living Room,-66,0,-57,0,-71,-56,0,0,0,-77,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-66,0
87,0.0,0.0,Living Room,-66,0,-57,0,-71,-57,0,0,0,-77,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-64,0
88,0.0,0.0,Living Room,-66,0,-57,0,-72,-57,0,0,0,-77,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-66,0
89,0.0,0.0,Living Room,-67,0,-57,0,-67,-57,0,0,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-66,0
90,0.0,0.0,Living Room,-61,0,-57,0,-69,-57,0,0,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-66,0
91,0.0,0.0,Living Room,-64,0,-57,0,-67,-57,0,0,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-67,0
92,0.0,0.0,Living Room,-68,0,-57,0,-67,-57,0,0,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-65,0
93,0.0,0.0,Living Room,-67,0,-57,0,-67,-57,0,0,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-66,0
94,0.0,0.0,Bathroom,-63,-80,-70,0,-59,-69,0,0,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-74,0
95,0.0,0.0,Bathroom,-71,0,-70,0,-60,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-73,0
96,0.0,0.0,Bathroom,-74,0,-70,0,-63,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-73,0
97,0.0,0.0,Bathroom,-70,0,-70,0,-63,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-78,0
98,0.0,0.0,Bathroom,-70,0,-69,0,-63,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-74,0
99,0.0,0.0,Bathroom,-70,0,-69,0,-63,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-78,0
100,0.0,0.0,Bathroom,-70,0,-69,0,-63,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-75,0
101,0.0,0.0,Bathroom,0,0,-69,0,-66,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-79,0
102,0.0,0.0,Bathroom,-72,0,-69,0,-64,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-76,0
103,0.0,0.0,Bathroom,-72,0,-69,0,-63,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-78,0
104,0.0,0.0,Bathroom,-73,0,-61,0,-69,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-84,0
105,0.0,0.0,Bathroom,-75,0,-61,0,-67,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-80,0
106,0.0,0.0,Bathroom,-75,0,-61,0,-67,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-81,0
107,0.0,0.0,Bathroom,-75,0,-61,0,-67,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-86,0
108,0.0,0.0,Bathroom,-76,0,-61,0,-64,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-82,0
109,0.0,0.0,Bathroom,-76,0,-61,0,-67,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-82,0
110,0.0,0.0,Bathroom,-78,0,-61,0,-69,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-86,0
111,0.0,0.0,Bathroom,-78,0,-61,0,-69,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0
